,PhraseId,SentenceId,Phrase,Sentiment,clean_review
0,1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1,a series of escapade demonstrating the adage that what is good for the goose is also good for the gander some of which occasionally amuses but none of which amount to much of a story
1,2,1,A series of escapades demonstrating the adage that what is good for the goose,2,a series of escapade demonstrating the adage that what is good for the goose
2,3,1,A series,2,a series
3,4,1,A,2,a
4,5,1,series,2,series
5,6,1,of escapades demonstrating the adage that what is good for the goose,2,of escapade demonstrating the adage that what is good for the goose
6,7,1,of,2,of
7,8,1,escapades demonstrating the adage that what is good for the goose,2,escapade demonstrating the adage that what is good for the goose
8,9,1,escapades,2,escapade
9,10,1,demonstrating the adage that what is good for the goose,2,demonstrating the adage that what is good for the goose
10,11,1,demonstrating the adage,2,demonstrating the adage
11,12,1,demonstrating,2,demonstrating
12,13,1,the adage,2,the adage
13,14,1,the,2,the
14,15,1,adage,2,adage
15,16,1,that what is good for the goose,2,that what is good for the goose
16,17,1,that,2,that
17,18,1,what is good for the goose,2,what is good for the goose
18,19,1,what,2,what
19,20,1,is good for the goose,2,is good for the goose
20,21,1,is,2,is
21,22,1,good for the goose,3,good for the goose
22,23,1,good,3,good
23,24,1,for the goose,2,for the goose
24,25,1,for,2,for
25,26,1,the goose,2,the goose
26,27,1,goose,2,goose
27,28,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",2,is also good for the gander some of which occasionally amuses but none of which amount to much of a story
28,29,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,is also good for the gander some of which occasionally amuses but none of which amount to much of a story
29,30,1,is also,2,is also
30,31,1,also,2,also
31,32,1,"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,good for the gander some of which occasionally amuses but none of which amount to much of a story
32,33,1,"for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,for the gander some of which occasionally amuses but none of which amount to much of a story
33,34,1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",1,the gander some of which occasionally amuses but none of which amount to much of a story
