"","tweet_id","sentiment","author","content"
"4",1956967789,"enthusiasm","czareaquino","wants to hang out with friends SOON!"
"8",1956968636,"worry","mcsleazy","Hmmm. http://www.djhero.com/ is down"
"12",1956969531,"worry","dudeitsmanda","Choked on her retainers"
"16",1956971077,"sadness","Sim_34","The storm is here and the electricity is gone"
"20",1956971586,"sadness","cleepow","How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend"
"24",1956972270,"worry","sweet8181","I ate Something I don't know what it is... Why do I keep Telling things about food"
"28",1956972884,"worry","oONEPTUNEOo","Damm servers still down  i need to hit 80 before all the koxpers pass me"
"32",1956975441,"neutral","LovableKeKe","@cynthia_123 i cant sleep"
"36",1956976187,"neutral","ivoflipse5","Screw you @davidbrussee! I only have 3 weeks..."
"40",1956976681,"neutral","HarryHarley","@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry"
"44",1956977624,"worry","alexsnaps","Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something..."
"48",1956979150,"sadness","rionne","I'm having a problem with my photo here in twitter amf!!!...can't see my face!"
"52",1956979900,"worry","a_schmel","why am i so tired?"
"56",1956980972,"worry","syl3nt","sucks not being able to take days off of work or have the money to take the trip  so sad"
"60",1956982383,"sadness","Ameeee","@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
"64",1956983160,"sadness","crittyjoy","@Pokinatcha  in all honesty...pain   blech."
"68",1956983690,"sadness","Trishalove","@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol"
"72",1956984185,"worry","HarryLyme","...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'"
"76",1956984894,"neutral","Chai_Bo","I miss Voobys!"
"80",1956985758,"worry","jazz_angela","@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
"84",1956986359,"worry","bittenbyte","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
"88",1956987828,"worry","palomalopes24","@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you"
"92",1956988218,"neutral","callatya","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
"96",1956989514,"sadness","yellowduckx","@sweeetnspicy hiii im on my ipod...i cant fall asleep"
"100",1956989601,"hate","M0anique","@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS"
"104",1956990568,"sadness","sarah_walter","Darn these allergies! I don't like this time of year because of this! I never used to have this problem either"
"108",1956991704,"hate","Tweetyangie","@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up"
"112",1956992349,"neutral","jarekpastor","@justamedicine  That was stone cold   Crazy....  ?"
"116",1956994067,"neutral","lockerhaxor","@thecreativeone I second that. I wish it rained more where I am"
"120",1956995762,"sadness","foxtail84","Allergies suck ducks nuts.     &lt;=====8@8=====&gt;"
"124",1956996470,"worry","ohmygoshnina","@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
"128",1956996776,"sadness","KitaCupcake","Is miserable  i feel like im gona cry  sux!"
"132",1956998370,"love","rockinchick11","Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation."
"136",1956998704,"sadness","sillynic","Now I am depressed after watching so you think you can dance"
"140",1957000290,"worry","Ohtybaby","I cant sleep, but im too sore to move"
"144",1957000788,"worry","zpavic","Achieving a new appreciation on how a xml build script can really be painful and cumbersome"
"148",1957001506,"relief","benmfowler","I'm at work"
"152",1957002773,"love","UncoolRockstar","@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
"156",1957003440,"worry","autotips","New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ..."
"160",1957004606,"worry","riannasc","my sole supporter is not my sole supporter"
"164",1957005279,"sadness","PYTDavis","I miss my puppy"
"168",1957005817,"worry","JBabyLove","Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?"
"172",1957006245,"sadness","bella_facia","@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
"176",1957006725,"neutral","andrewjennings","@juneyee i don't think so.  I WANT DETAILS."
"180",1957007268,"fun","EmaMolly","@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?"
"184",1957007633,"sadness","IAmYourDensity","I just saw pics from this past Thanksgiving and am sad because Grandma was in them."
"188",1957008287,"worry","KarlOnSea","Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted."
"192",1957008498,"sadness","CathyDohling","Too bad the Red Devils.. disappointing to say the least"
"196",1957009454,"worry","woahitsJana","Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
"200",1957010415,"worry","trina3mg","Needs a job BADLY!!!"
"204",1957012535,"empty","SexyBeach","@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4"
"208",1957013488,"neutral","LetitiaIvy","@aiderushton ill be over in an oir"
"212",1957013885,"sadness","debraladiva","@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
"216",1957014389,"relief","misscinders","is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
"220",1957014706,"hate","butteredninja","I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
"224",1957016086,"surprise","chrisshennan","Why am I completing facebook quizzes at this time of the morning... especially a friday morning"
"228",1957016818,"worry","PnkRckGirl97","wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio"
"232",1957017333,"neutral","serinurshira","back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again."
"236",1957017610,"neutral","thetoughsams","@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
"240",1957019034,"worry","monkeylover96","i am doing homework it sux big time maths is the worst!!!!!!"
"244",1957019715,"worry","Mrs_Jackman","I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
"248",1957020390,"worry","Karmenyl","i'm sooooooooooooo confused"
